OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2026-08-01T11:23:00.596544,15.49301455,.00072105,51.6315,75.9770,0.6648,359.4349,0,U,25544,999,57877,.16079419E-3,.8515E-4,0
POISK,2009-060A,2026-08-01T11:23:00.596544,15.49301455,.00072105,51.6315,75.9770,0.6648,359.4349,0,U,36086,999,57850,.16079419E-3,.8515E-4,0
CSS (TIANHE),2021-035A,2026-08-01T13:58:49.093824,15.58678458,.00010023,41.4685,46.4066,286.7823,73.2905,0,U,48274,999,30025,.24204629E-3,.18858E-3,0
ISS (NAUKA),2021-066A,2026-08-01T11:23:00.596544,15.49301455,.00072105,51.6315,75.9770,0.6648,359.4349,0,U,49044,999,57854,.16079419E-3,.8515E-4,0
FREGAT DEB,2011-037PF,2026-08-01T10:01:08.903424,12.43202278,.09066176,51.6308,225.8461,21.2241,342.3844,0,U,49271,999,23067,.14590784E-1,.8854E-4,0
CSS (WENTIAN),2022-085A,2026-08-01T13:58:49.093824,15.58678458,.00010023,41.4685,46.4066,286.7823,73.2905,0,U,53239,999,28823,.24204629E-3,.18858E-3,0
CSS (MENGTIAN),2022-143A,2026-08-01T13:58:49.093824,15.58678458,.00010023,41.4685,46.4066,286.7823,73.2905,0,U,54216,999,30009,.24204629E-3,.18858E-3,0
HRC MONOBLOCK CAMERA,1998-067XR,2026-08-01T13:22:30.815904,15.81738897,.00023139,51.6190,44.8770,280.4756,79.5985,0,U,66052,999,4516,.54121949E-3,.112147E-2,0
SZ-21 MODULE,2025-246C,2026-08-01T04:52:33.926016,15.80467345,.00094157,41.4726,26.1435,325.2795,34.7436,0,U,66515,999,4085,.25540648E-3,.50106E-3,0
DUPLEX,1998-067XS,2026-08-01T03:46:28.625664,15.65925849,.00022076,51.6253,61.8267,3.9167,356.1845,0,U,66906,999,3769,.39647827E-3,.4087E-3,0
KNACKSAT-2,1998-067XZ,2026-08-01T00:11:50.195040,15.64123189,.00070522,51.6271,68.3546,18.0531,342.0713,0,U,67683,999,2728,.59097616E-3,.57099E-3,0
GXIBA-1,1998-067YB,2026-07-31T19:47:49.428960,15.66591387,.00074398,51.6249,67.8647,13.3000,346.8190,0,U,67685,999,2727,.64210712E-3,.68669E-3,0
UITMSAT-2,1998-067YC,2026-07-31T20:10:47.389728,15.72285073,.00038046,51.6234,64.9543,330.6280,29.4504,0,U,67686,999,2731,.78076685E-3,.106327E-2,0
LEOPARD,1998-067YD,2026-08-01T07:37:18.090336,15.66138893,.00047378,51.6275,65.9316,341.2791,18.8030,0,U,67687,999,2726,.72455521E-3,.7616E-3,0
HMU-SAT2,1998-067YE,2026-08-01T00:25:09.147936,15.69499021,.00039045,51.6249,65.4081,339.2166,20.8672,0,U,67688,999,2724,.72731291E-3,.87853E-3,0
CREW DRAGON 12,2026-031A,2026-08-01T11:23:00.596544,15.49301455,.00072105,51.6315,75.9770,0.6648,359.4349,0,U,67796,999,57867,.16079419E-3,.8515E-4,0
PROGRESS-MS 33,2026-058A,2026-08-01T11:23:00.596544,15.49301455,.00072105,51.6315,75.9770,0.6648,359.4349,0,U,68319,999,57866,.16079419E-3,.8515E-4,0
CYGNUS NG-24,2026-079A,2026-08-01T11:23:00.596544,15.49301455,.00072105,51.6315,75.9770,0.6648,359.4349,0,U,68689,999,57879,.16079419E-3,.8515E-4,0
PROGRESS-MS 34,2026-093A,2026-08-01T11:23:00.596544,15.49301455,.00072105,51.6315,75.9770,0.6648,359.4349,0,U,68837,999,57883,.16079419E-3,.8515E-4,0
TIANZHOU-10,2026-102A,2026-08-01T13:58:49.093824,15.58678458,.00010023,41.4685,46.4066,286.7823,73.2905,0,U,69049,999,30001,.24204629E-3,.18858E-3,0
SHENZHOU-23 (SZ-23),2026-113A,2026-08-01T13:58:49.093824,15.58678458,.00010023,41.4685,46.4066,286.7823,73.2905,0,U,69180,999,29991,.24204629E-3,.18858E-3,0
SOYUZ-MS 29,2026-162A,2026-08-01T11:23:00.596544,15.49301455,.00072105,51.6315,75.9770,0.6648,359.4349,0,U,100057,999,57878,.16079419E-3,.8515E-4,0
